Provinsi,Tahun,Produksi,Luas Panen,Curah hujan,Kelembapan,Suhu rata-rata
Aceh,1993,1329536.00,323589.00,1627.00,82.00,26.06
Aceh,1994,1299699.00,329041.00,1521.00,82.12,26.92
Aceh,1995,1382905.00,339253.00,1476.00,82.72,26.27
Aceh,1996,1419128.00,348223.00,1557.00,83.00,26.08
Aceh,1997,1368074.00,337561.00,1339.00,82.46,26.31
Aceh,1998,1404580.00,365892.00,1465.00,82.60,26.84
Aceh,1999,1478712.00,359817.00,1778.00,82.79,26.14
Aceh,2000,1486909.00,336765.00,1974.70,90.60,27.10
Aceh,2001,1547499.00,295212.00,1688.70,69.48,28.90
Aceh,2002,1314165.00,315131.00,1296.80,68.75,29.20
Aceh,2003,1246614.00,367636.00,1507.20,70.66,29.40
Aceh,2004,1350748.00,370966.00,1097.00,80.84,29.40
Aceh,2005,1411650.00,337893.00,710.50,79.50,26.80
Aceh,2006,1552078.00,320789.00,506.50,80.80,26.73
Aceh,2007,1556858.00,360717.00,1414.00,81.50,26.38
Aceh,2008,1402287.00,329109.00,1270.40,78.50,27.00
Aceh,2009,1533369.00,359375.00,1577.00,78.70,26.90
Aceh,2010,1788738.00,352281.00,1986.00,81.40,27.10
Aceh,2011,1772962.00,380686.00,1268.00,79.40,27.10
Aceh,2012,1582393.00,387803.00,1098.00,79.60,26.90
Aceh,2013,2331046.00,419183.00,1623.60,80.70,27.00
Aceh,2014,1820062.00,376137.00,2264.40,78.30,27.10
Aceh,2015,1956940.00,461060.00,1575.00,80.00,27.10
Aceh,2016,2180754.00,293067.00,1096.00,83.32,27.12
Aceh,2017,2478922.00,294483.00,1905.90,85.57,26.51
Aceh,2018,1751996.94,329515.78,1427.80,83.98,26.48
Aceh,2019,1714437.60,310012.46,1931.40,83.90,26.65
Aceh,2020,1861567.10,317869.41,1619.20,80.82,25.41
